service_request_type,section,total_requests,requestswiinter,% Intersections,Description,Tip,Link,Timeline
Investigate Animal Care,Toronto Animal Services,9499,128,1.35,"Report an animal welfare concern such as a pet left without adequate shelter, on a short tether, in unsanitary conditions, or where the owner has too many animals. Also covers urgent situations where a pet owner has been hospitalized, incarcerated, or evicted and their animal requires immediate protective care.","Provide as much detail as possible including the owner's address, type of animal, and nature of the concern — without an owner address, officers may not be able to act",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/municipal-licensing-standards/municipal-licensing-standards-customer-service-standards/,Initial Response: ~5 hours (urgent) or ~5 days (non-urgent)
Injured Wildlife,Toronto Animal Services,149081,8349,5.6,"Report a wild animal that appears injured, sick, or trapped and requires assistance from Toronto Animal Services.",Keep people and pets away from the animal. Do not attempt to handle it yourself.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwebCAA&searchTerm=injured%20wildlife,Initial Response: ~2 hours
Injured Domestic,Toronto Animal Services,12839,609,4.74,"Report an injured dog, cat, or other domestic animal in a public area that requires urgent care from Animal Services.",Keep people and other animals away from the injured animal until the officer arrives.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwebCAA&searchTerm=injured%20wildlife,Initial Response: ~2 hours
Illegal Snow Dumping & Failure To Clear Snow Or Ice On Public Sidewalk,Right of Way (ROW),27396,510,1.86,"Report snow being illegally dumped onto a City sidewalk, or a property owner who has failed to clear the adjacent sidewalk as required by bylaw.",Property owners must clear adjacent sidewalks within 12 hours after a snowfall ends. This is a bylaw obligation.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-customer-service-standards/,Initial Response: within ~5 business days
Illegal Off Street Parking,Right of Way (ROW),9333,592,6.34,"Report a vehicle or structure in violation of off-street parking regulations on City property — including front yard parking, boulevard parking, or use of a City street allowance without a valid permit","If reporting a vehicle on private property (common in Scarborough, North York, and Etobicoke), check whether a permit is in place before filing — licensed locations are listed on the City's website.",https://www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/,Timeline Not Specified
Icy Sidewalk Needs Salting,Road Operations,18154,4330,23.85,Report an icy City-maintained sidewalk that requires salting or sanding to make it safe for pedestrians.,Wear appropriate footwear and take alternate routes until the sidewalk has been treated.,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/clearing-snow-and-ice-from-your-property/,Initial Response: ~12–72 hours
Hazardous Waste Pick Up,Collections,70699,2,0,"Schedule collection of household hazardous waste such as paint, chemicals, batteries, or electronics that cannot go in regular garbage.","Package hazardous materials in sealed, labeled containers before your pickup date.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvjMCAQ&searchTerm=Hazardous%20Waste%20Pick%20Up,Repair / Action: collected within ~24 hours of scheduled date
Graffiti,Investigation Services,16218,3,0.02,"Report graffiti on City-owned property, infrastructure, or public spaces that needs to be removed.",Photograph the graffiti and note the location clearly as this helps crews prioritize and locate it efficiently.,https://www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/graffiti-postering-signs/,Repair / Action: removal within ~10 days
General Tree Maintenance,Climate & Forestry,22250,425,1.91,"Request general maintenance for a City-owned street tree, including inspection, cable bracing, or minor structural work.",Requests filed in summer take longer as crews focus on emergencies during the peak growing season.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/environment-climate-forestry/environment-climate-forestry-customer-service-standards/,"Initial Response: ~8 weeks
Repair / Action: up to ~6 months"
General Pruning,Climate & Forestry,176857,3758,2.12,"Request pruning of a City-owned street tree to remove dead branches, improve clearance, or maintain healthy growth.",Timeframes Longer if request filed between June and September,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/environment-climate-forestry/environment-climate-forestry-customer-service-standards/,"Initial Response: ~8 weeks
Repair / Action: up to ~6 months"
Driveway Blocked By Plowed Snowbank,Road Operations,30268,279,0.92,Request removal of a snow windrow blocking your residential driveway that was created by City snow plowing operations.,Main roads and transit routes are plowed first. Local residential streets may take longer.Multiple rounds might be needed (values provided for one round).,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/levels-of-snow-clearing-service/,Repair / Action: cleared within ~14 hours (once snowfall stops)
Dangerous Private Tree Investigation,Climate & Forestry,15044,96,0.64,"Request an investigation into a privately owned tree that appears dead, diseased, or structurally unsound and may pose a risk to people or property.",The City can order property owners to remove dangerous trees. Inspectors will assess the risk level.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/environment-climate-forestry/environment-climate-forestry-customer-service-standards/,"Initial Response: ~72 hours
Restoration / Completion: up to ~12 months"
Damaged Concrete Sidewalk,Road Operations,37971,2687,7.08,"Report a cracked, heaved, or broken concrete sidewalk panel that is a tripping hazard or makes the sidewalk unusable.",Temporary hazard marking may be placed while the repair is queued. The full fix can take time due to volume.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-customer-service-standards/,"Initial Response: ~5 business days
Restoration / Completion: may extend up to years"
Curb Day Collection Staff Complaint Solid Waste Management,Collections,21635,1010,4.67,File a complaint about the behaviour or conduct of a Solid Waste Management staff member during a curbside collection visit.,"Provide the date, time, and location of the incident along with a clear description when filing.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-complaints-compliments/,Repair / Action: reviewed within ~30 days
Curb Day Collection Complaint Solid Waste Management,Collections,32876,106,0.32,"File a complaint about the quality, conduct, or outcome of a curbside collection service such as bins not returned properly, missed stops, or unprofessional behaviour.","Note the date of collection, your address, and a description of the issue when filing.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-complaints-compliments/,Repair / Action: reviewed within ~30 days
Contractor Complaint,Road Operations,11221,2755,24.55,"File a complaint about a City-hired contractor doing road or infrastructure work â€” for example, poor workmanship, improper site conditions, or failure to follow standards.",Note the permit number or work order if visible on posted site signage to speed up the investigation.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-customer-service-standards/,Repair / Action: reviewed within ~5 business days
Construction Noise,Bylaw Enforcement,17723,1939,10.94,Report excessive or after-hours noise from a nearby construction site that violates the City's noise bylaws.,Construction is permitted Mon-Fri 7 AM-7 PM and Sat 9 AM-7 PM; work outside these hours may be in violation.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/municipal-licensing-standards/municipal-licensing-standards-customer-service-standards/,Initial Response: ~5 days
Clean Up Needles Or Syringes,Litter Operations,7036,2264,32.18,"Request the City to pick up improperly discarded needles, syringes, or other sharps found on City property — including roads, sidewalks, boulevards, laneways, and City parks. Do not touch or attempt to remove sharps yourself.","Note the exact location (address and nearest intersection) when filing and indicate whether it is on a sidewalk, boulevard, laneway, or in a park.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvsGCAQ&searchTerm=Clean%20Up%20Needles%20Or%20Syringes,Timeline Not Specified
Clean Up Litter On Sidewalks And Boulevards,Collections,32520,6612,20.33,"Request cleanup of litter, and human waste accumulated on City sidewalks or boulevards that has not been addressed through regular maintenance.","For large amounts of litter in a park or public space, use the appropriate parks or waste enforcement request instead.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: cleaned within ~3 days
Clean Up Litter On Laneways,Collections,12356,1181,9.56,Request cleanup of accumulated litter in a City laneway that has not been addressed through regular operations.,Include the laneway name or bounding streets to help crews identify the correct location.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: cleaned within ~3 days
Clean Up Illegal Dumping On City Road Allowance,Collections,38407,6712,17.48,"Report illegally dumped garbage or materials in the City road allowance, the public strip of land between private property and the road.",Provide the nearest civic address or intersection to help crews locate the dumping quickly.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: cleaned within ~3 days
Clean Up Debris On Road,Road Operations,67476,17046,25.26,"Report debris such as wood, glass, furniture, or fallen materials on a City road that poses a hazard to drivers or cyclists.","For immediate traffic hazards, also call 311 directly so the issue can be flagged as urgent.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cweUCAQ&searchTerm=road%20cleaning,Repair / Action: resolved within ~4 weeks; 
Catch Basin Blocked / Flooding,Road Operations,31735,3598,11.34,Report a catch basin (storm drain) that is blocked by debris and causing water to pool on the road or sidewalk.,Do not attempt to clear the catch basin yourself. Report the location and note any flooding extent.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvZGCAY&searchTerm=catch%20basin%20flood,Timeline Not Specified
Boulevards Grass Cutting,Road Operations,8726,2800,32.09,"Report a boulevard, City right-of-way, or hydro corridor section where grass or weeds have grown excessively and require cutting. The City contracts vendors to perform up to 7 scheduled grass cuts per year between May and November, with cuts spaced roughly 3 weeks apart.","If the overgrowth is creating a visibility or safety hazard (e.g. blocking a sightline at an intersection), note that when filing — it may be flagged for priority attention outside the regular schedule.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvhBCAQ&searchTerm=Boulevards%20Grass%20Cutting,Repair / Action: scheduled within ~3-week cycle; 
Boulevards Damaged Asphalt,Road Operations,23172,731,3.15,Report damaged or deteriorated asphalt on a City boulevard (the paved area between the road and sidewalk).,"Note the street address and which direction the damage is on (north, south, etc.) for faster dispatch.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvTwCAI&searchTerm=Boulevard%20Plow%20Damage,Timeline Not Specified
Boulevard Plow Damage,Road Operations,22310,385,1.73,"Report damage to a City boulevard caused by a snow plow, such as damaged grass, landscaping, or sod.",Boulevard restoration after winter damage is typically addressed in the spring season.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvTwCAI&searchTerm=Boulevard%20Plow%20Damage,Timeline Not Specified
Bins Complaint Solid Waste Management,Collections,12268,4,0.03,"File a general complaint about City-issued waste bins such as a bin being placed at the wrong property, bin quality issues, or service concerns not covered by other categories.","Include your civic address, bin type, and a clear description of the issue to help staff investigate.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: reviewed within ~30 days
Bin Investigation Request,Collections,40538,177,0.44,"Request an investigation into a service issue related to your City-issued waste bins, such as an incorrect bin being assigned to your property or a billing dispute.",Have your civic address and bin serial number ready to help staff locate your account.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: investigation within ~21 days; 
Animal Noise,Toronto Animal Services,18440,60,0.33,"Report persistent or excessive noise from an animal, such as a dog barking continuously, that is causing a disturbance.","Try to provide the owner's address. Without that information, bylaw officers cannot take action.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvV8CAI&searchTerm=animal,Initial Response: ~5 days
Amplified Or Musical Instrument Noise,Bylaw Enforcement,35648,2153,6.04,"Report excessive noise from amplified music or musical instruments coming from a residence, venue, or outdoor space.","Note the time, date, address, and type of noise to help bylaw officers verify the complaint.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/municipal-licensing-standards/municipal-licensing-standards-customer-service-standards/,Initial Response: ~5 days
Adequate Heat,Investigation Services,20182,20,0.1,Report a landlord or property owner who is failing to maintain adequate indoor heat in a rental unit as required by City standards.,Landlords must maintain a minimum indoor temperature of 21°C during the heating season.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/municipal-licensing-standards/municipal-licensing-standards-customer-service-standards/,Initial Response: 24 hours to 5 days
Additional Residential Organic Bin,Collections,30473,36,0.12,Request an extra green organic bin for your household if your current bin is not sufficient for your food waste volume.,Additional bins may incur a fee depending on your current waste service tier.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: delivered within ~14 days; 
